"Time","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frames_sent_total_camera","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","people_box_count","people_box_count","people_box_count","people_box_count","people_box_count","people_box_count","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","group3-node2_cpu_0","group3-node1_cpu_0","group3-node2_cpu_1","group3-node1_cpu_1","group3-node2_cpu_2","group3-node1_cpu_2","group3-node2_cpu_3","group3-node1_cpu_3","group3-node2_cpu_4","group3-node1_cpu_4","group3-node2_cpu_5","group3-node1_cpu_5","group3-node2_cpu_6","group3-node1_cpu_6","group3-node2_cpu_7","group3-node1_cpu_7","group3-node2_available_memory","group3-node1_available_memory","group3-node2_free_memory","group3-node1_free_memory"
1758829080000,undefined,undefined,undefined,150.86182200320764,undefined,undefined,48227,undefined,undefined,48217,undefined,undefined,undefined,undefined,undefined,7,undefined,undefined,undefined,undefined,undefined,77.85344123840332,undefined,undefined,undefined,undefined,undefined,undefined,46939,undefined,undefined,undefined,undefined,undefined,18.584293000458274,undefined,undefined,undefined,undefined,undefined,150.86182200320764,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829110000,undefined,undefined,undefined,153.65172299789265,undefined,undefined,48317,undefined,undefined,48307,undefined,undefined,undefined,undefined,undefined,7,undefined,undefined,undefined,undefined,undefined,72.89958000183105,undefined,undefined,undefined,undefined,undefined,undefined,47028,undefined,undefined,undefined,undefined,undefined,21.127790001628455,undefined,undefined,undefined,undefined,undefined,153.65172299789265,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829140000,undefined,undefined,undefined,104.16630800318671,undefined,undefined,48407,undefined,undefined,48397,undefined,undefined,undefined,undefined,undefined,5,undefined,undefined,undefined,undefined,undefined,75.1044750213623,undefined,undefined,undefined,undefined,undefined,undefined,47118,undefined,undefined,undefined,undefined,undefined,25.930789997801185,undefined,undefined,undefined,undefined,undefined,104.16630800318671,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829170000,undefined,undefined,undefined,173.21013000037055,undefined,undefined,48497,undefined,undefined,48487,undefined,undefined,undefined,undefined,undefined,8,undefined,undefined,undefined,undefined,undefined,70.79100608825684,undefined,undefined,undefined,undefined,undefined,undefined,47208,undefined,undefined,undefined,undefined,undefined,18.716530998062808,undefined,undefined,undefined,undefined,undefined,173.21013000037055,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829200000,undefined,undefined,undefined,94.77315900585381,undefined,undefined,48587,undefined,undefined,48577,undefined,undefined,undefined,undefined,undefined,5,undefined,undefined,undefined,undefined,undefined,80.16824722290039,undefined,undefined,undefined,undefined,undefined,undefined,47298,undefined,undefined,undefined,undefined,undefined,18.313184002181515,undefined,undefined,undefined,undefined,undefined,94.77315900585381,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829230000,undefined,undefined,undefined,193.73549400188494,undefined,undefined,48677,undefined,undefined,48667,undefined,undefined,undefined,undefined,undefined,9,undefined,undefined,undefined,undefined,undefined,64.88633155822754,undefined,undefined,undefined,undefined,undefined,undefined,47388,undefined,undefined,undefined,undefined,undefined,19.079498000792228,undefined,undefined,undefined,undefined,undefined,193.73549400188494,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829260000,undefined,undefined,undefined,230.73443199973553,undefined,undefined,48767,undefined,undefined,48757,undefined,undefined,undefined,undefined,undefined,10,undefined,undefined,undefined,undefined,undefined,59.29446220397949,undefined,undefined,undefined,undefined,undefined,undefined,47478,undefined,undefined,undefined,undefined,undefined,19.344757005455904,undefined,undefined,undefined,undefined,undefined,230.73443199973553,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829290000,undefined,undefined,undefined,213.95223199942848,undefined,undefined,48857,undefined,undefined,48847,undefined,undefined,undefined,undefined,undefined,6,undefined,undefined,undefined,undefined,undefined,69.00930404663086,undefined,undefined,undefined,undefined,undefined,undefined,47568,undefined,undefined,undefined,undefined,undefined,18.156897996959742,undefined,undefined,undefined,undefined,undefined,213.95223199942848,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829320000,undefined,undefined,undefined,196.0617440054193,undefined,undefined,48947,undefined,undefined,48937,undefined,undefined,undefined,undefined,undefined,7,undefined,undefined,undefined,undefined,undefined,61.68007850646973,undefined,undefined,undefined,undefined,undefined,undefined,47658,undefined,undefined,undefined,undefined,undefined,18.50900999852456,undefined,undefined,undefined,undefined,undefined,196.0617440054193,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829350000,undefined,undefined,undefined,276.25750999868615,undefined,undefined,49037,undefined,undefined,49027,undefined,undefined,undefined,undefined,undefined,5,undefined,undefined,undefined,undefined,undefined,86.2727165222168,undefined,undefined,undefined,undefined,undefined,undefined,47748,undefined,undefined,undefined,undefined,undefined,18.317830996238627,undefined,undefined,undefined,undefined,undefined,276.25750999868615,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
